geography,bounds,xlat,xlon,day_count,source_rows,activity_sum,activity_mean_per_day,activity_min,activity_max
021230030220022031,"-122.33963012695312, 47.610792360606226, -122.3382568359375, 47.61171817478493",47.61126,-122.33894,31,31,27.751241,0.895201,0.373710,1.466170
021230030220023010,"-122.33001708984375, 47.61264397257417, -122.32864379882812, 47.61356975397396",47.61311,-122.32933,31,31,27.736112,0.894713,0.483746,1.322797
021230030222032331,"-122.31216430664062, 47.54779854409145, -122.310791015625, 47.54872547286773",47.54826,-122.31148,31,31,27.664332,0.892398,0.473131,1.371999
021230030220001233,"-122.32864379882812, 47.62838002744714, -122.3272705078125, 47.62930553023398",47.62884,-122.32796,31,31,27.406360,0.884076,0.420455,1.443270
021230030220022211,"-122.33963012695312, 47.608940683080164, -122.3382568359375, 47.60986653003798",47.60940,-122.33894,31,31,27.322132,0.881359,0.559552,1.233274
021230030220212023,"-122.32040405273438, 47.59505101193037, -122.31903076171875, 47.595977104737685",47.59551,-122.31972,31,31,27.286987,0.880225,0.341615,1.446905
021230030202203111,"-122.32315063476562, 47.65706299337808, -122.32177734375, 47.657987988142274",47.65753,-122.32246,31,31,27.245008,0.878871,0.463291,1.295837
021230030220022103,"-122.33688354492188, 47.61171817478493, -122.33551025390625, 47.61264397257417",47.61218,-122.33620,31,31,27.026136,0.871811,0.325501,1.372293
021230030202221111,"-122.32315063476562, 47.64966244532502, -122.32177734375, 47.65058757118734",47.65013,-122.32246,31,31,26.958616,0.869633,0.442880,1.328716
021230030222010021,"-122.32040405273438, 47.57374635352771, -122.31903076171875, 47.574672823325265",47.57421,-122.31972,31,31,26.924753,0.868540,0.431048,1.220883
021230030220022210,"-122.34100341796875, 47.608940683080164, -122.33963012695312, 47.60986653003798",47.60940,-122.34032,31,31,26.896179,0.867619,0.394945,1.291886
021230021331131131,"-122.34512329101562, 47.61819841513311, -122.34375, 47.619124098197325",47.61866,-122.34444,31,31,26.755546,0.863082,0.500481,1.355020
021230030220001320,"-122.3272705078125, 47.62930553023398, -122.32589721679688, 47.63023101663225",47.62977,-122.32658,31,31,26.559397,0.856755,0.449216,1.247084
021230030220021031,"-122.32864379882812, 47.61819841513311, -122.3272705078125, 47.619124098197325",47.61866,-122.32796,31,31,26.400031,0.851614,0.502107,1.238784
021230030220021012,"-122.33001708984375, 47.619124098197325, -122.32864379882812, 47.62004976487242",47.61959,-122.32933,31,31,26.333413,0.849465,0.343944,1.321619
021230030220001301,"-122.32589721679688, 47.63115648664201, -122.32452392578125, 47.632081940263305",47.63162,-122.32521,31,31,26.272646,0.847505,0.346426,1.284912
021230030220021010,"-122.33001708984375, 47.62004976487242, -122.32864379882812, 47.62097541515848",47.62051,-122.32933,31,31,26.143560,0.843341,0.265578,1.274951
021230021331113301,"-122.34786987304688, 47.623752267682875, -122.34649658203125, 47.62467785241324",47.62422,-122.34718,31,31,26.116408,0.842465,0.464331,1.351356
021230030220120033,"-122.29568481445312, 47.61727271567976, -122.2943115234375, 47.61819841513311",47.61774,-122.29500,25,26,26.106202,1.044248,0.046497,1.470193
021230030220201333,"-122.32315063476562, 47.59875528481801, -122.32177734375, 47.59968131206439",47.59922,-122.32246,31,31,26.055531,0.840501,0.521926,1.170991
021230030220022032,"-122.34100341796875, 47.60986653003798, -122.33963012695312, 47.610792360606226",47.61033,-122.34032,31,31,26.043034,0.840098,0.581639,1.225855
021230030220023333,"-122.32315063476562, 47.60616304386873, -122.32177734375, 47.60708893999558",47.60663,-122.32246,31,31,26.036778,0.839896,0.489002,1.171562
021230030202203133,"-122.32315063476562, 47.65428791076272, -122.32177734375, 47.65521295468833",47.65475,-122.32246,31,31,25.964759,0.837573,0.422113,1.242351
021230030220020020,"-122.34375, 47.61819841513311, -122.34237670898438, 47.619124098197325",47.61866,-122.34306,31,31,25.942693,0.836861,0.474576,1.195353
021230030220212220,"-122.32177734375, 47.59227263516611, -122.32040405273438, 47.59319877714463",47.59274,-122.32109,31,31,25.807199,0.832490,0.278748,1.394007
021230030220020213,"-122.33963012695312, 47.615421267605434, -122.3382568359375, 47.616346999837226",47.61588,-122.33894,31,32,25.666826,0.827962,0.208978,1.286607
021230030220022330,"-122.33551025390625, 47.60708893999558, -122.33413696289062, 47.6080148197327",47.60755,-122.33482,31,31,25.589216,0.825459,0.257990,1.354635
021230030220201032,"-122.33001708984375, 47.6024592954631, -122.32864379882812, 47.603385257149334",47.60292,-122.32933,29,29,25.449884,0.877582,0.018151,1.445576
021230030220230000,"-122.32177734375, 47.59042030203754, -122.32040405273438, 47.5913464767971",47.59088,-122.32109,31,31,25.391241,0.819072,0.470304,1.249978
021230030220023210,"-122.33001708984375, 47.608940683080164, -122.32864379882812, 47.60986653003798",47.60940,-122.32933,31,31,25.175750,0.812121,0.171287,1.912614
021230030220002202,"-122.34375, 47.62282666656367, -122.34237670898438, 47.623752267682875",47.62329,-122.34306,31,31,25.107026,0.809904,0.394752,1.306704
021230030222032031,"-122.31765747070312, 47.551506160840326, -122.3162841796875, 47.552433024045946",47.55197,-122.31697,31,31,25.066667,0.808602,0.328339,1.242796
021230030202203113,"-122.32315063476562, 47.65613798222677, -122.32177734375, 47.65706299337808",47.65660,-122.32246,31,31,25.059915,0.808384,0.412350,1.196748
021230030220022213,"-122.33963012695312, 47.6080148197327, -122.3382568359375, 47.608940683080164",47.60848,-122.33894,31,31,25.054980,0.808225,0.393825,1.252220
021230030202231102,"-122.3052978515625, 47.64873730307524, -122.30392456054688, 47.64966244532502",47.64920,-122.30461,31,31,25.028322,0.807365,0.333569,1.122595
021230030220230002,"-122.32177734375, 47.589494110887394, -122.32040405273438, 47.59042030203754",47.58996,-122.32109,31,31,25.024522,0.807243,0.391845,1.248871
021230030202221113,"-122.32315063476562, 47.64873730307524, -122.32177734375, 47.64966244532502",47.64920,-122.32246,31,31,24.994271,0.806267,0.377250,1.171938
021230030202221313,"-122.32315063476562, 47.64503657020023, -122.32177734375, 47.645961778000455",47.64550,-122.32246,31,31,24.914175,0.803683,0.428226,1.439593
021230030220022231,"-122.33963012695312, 47.60708893999558, -122.3382568359375, 47.6080148197327",47.60755,-122.33894,31,31,24.820496,0.800661,0.511358,1.478782
021230030220232221,"-122.32040405273438, 47.577452134369686, -122.31903076171875, 47.57837853860191",47.57792,-122.31972,31,31,24.800528,0.800017,0.331353,1.190949
021230030220020212,"-122.34100341796875, 47.615421267605434, -122.33963012695312, 47.616346999837226",47.61588,-122.34032,30,30,24.705660,0.823522,0.189470,1.381983
021230030222010023,"-122.32040405273438, 47.572819867338694, -122.31903076171875, 47.57374635352771",47.57328,-122.31972,31,31,24.677111,0.796036,0.313870,1.413285
021230030220023222,"-122.332763671875, 47.60616304386873, -122.33139038085938, 47.60708893999558",47.60663,-122.33208,31,31,24.630698,0.794539,0.319795,1.404335
021230030220002133,"-122.33413696289062, 47.62467785241324, -122.332763671875, 47.62560342075481",47.62514,-122.33345,31,31,24.623504,0.794307,0.396143,1.200560
021230030202203333,"-122.32315063476562, 47.65058757118734, -122.32177734375, 47.651512680662215",47.65105,-122.32246,31,31,24.581472,0.792951,0.475313,1.049109
021230030202221331,"-122.32315063476562, 47.644111346012295, -122.32177734375, 47.64503657020023",47.64457,-122.32246,31,31,24.479105,0.789649,0.363628,1.273157
021230030220002211,"-122.33963012695312, 47.623752267682875, -122.3382568359375, 47.62467785241324",47.62422,-122.33894,31,31,24.477881,0.789609,0.276764,1.271174
021230030202030200,"-122.32177734375, 47.67555977518045, -122.32040405273438, 47.676484442213194",47.67602,-122.32109,31,31,24.464943,0.789192,0.358495,1.275725
021230030220022322,"-122.3382568359375, 47.60616304386873, -122.33688354492188, 47.60708893999558",47.60663,-122.33757,31,31,24.461684,0.789087,0.489256,1.200294
